Enquêteur,Code,Numero questionnaire,Date,Heure,"Q26.01- Activités ou rencontres sociales (mariages, funérailles, fêtes, clubs)",Q26.02- Activités religieuses ou de lieux de culte,Q26.03- Activités familiales,Q26.04- A déjà eu connaissance de remarques discriminatoires ou de commérages à son sujet de la part de membres de sa famille,Q26.05- A déjà eu connaissance de remarques discriminatoires ou de commérages à son sujet de la part d’autres personnes (au-delà de sa famille),"Q26.06- A déjà été harcelé(e) verbalement (p. ex., cris, réprimandes ou autre forme de violence verbale)",Q26.07- A déjà été victime de chantage,"Q26.08- A déjà été harcelé(e) ou blessé(e) physiquement (p. ex., bousculade, coups ou autre forme de violence corporelle)",Q26.09- A déjà été victime de refus d’un emploi ou a déjà perdu une source de revenus ou un travail,"Q26.10- A été victime de changement de description de son poste ou la nature de son travail a-t-elle changé, ou vous a-t-on déjà refusé une promotion","Q26.11- Discrimination subi du /de la conjoint(e), du/des partenaire(s) ou de ses enfants",Q27.1- Refus de services de santé en raison de votre séropositivité,Q27.2- On vous a conseillé de ne pas avoir de relations sexuelles à cause de votre séropositivité,Q27.3- On a mal parlé de vous ou vous avez été victime de commérages à cause de votre séropositivité,Q27.4- Violence verbale en raison de votre séropositivité,Q27.5- Violence physique en raison de votre séropositivité,Q27.6- Éviter tout contact physique avec vous ou prendre des précautions supplémentaires,Q27.7- Parler de votre séropositivité à d'autres personnes sans votre consentement,"Q28- En dehors de votre centre de prise en charge VIH, révélez-vous habituellement que vous vivez avec le VIH ?",Q29.1- Refus de services de santé en raison de votre séropositivité,Q29.2- Refus de soins dentaires en raison de votre statut sérologique,Q29.3- Vous conseiller de ne pas avoir de relations sexuelles en raison de votre statut sérologique,Q29.4- Commentaires négatifs ou commérages en raison de votre statut sérologique,Q29.5- Violence verbale,Q29.6- Violence physique,Q29.7- Absence de contacts physiques avec vous ou précautions supplémentaires,Q29.8- Divulgation de votre statut sérologique à d’autres personnes sans votre consentement,Q30- Avez-vous été déjà vécu une expérience de stigmatisation ou de discrimination liée à votre statut ? (À remplir par l’enquêteur),Q31.1- Ma confiance en moi,Q31.2- Mon respect pour moi-même,Q31.3- Ma capacité de respecter les autres,Q31.4- Ma capacité de composer avec le stress,Q31.5- Ma capacité à trouver l’amour,Q31.6- La réalisation de mes objectifs personnels et/ou professionnels,Q31.7- Ma capacité de contribuer à ma communauté,"Q31.8- Ma capacité de pratiquer une religion/ ma foi, à ma façon",Q32.1- J’ai choisi de ne pas participer à des rencontres sociales,Q32.2- J’ai évité d'aller dans un centre de santé ou l'hôpital au moment où j'en avais besoin,Q32.3- J’ai choisi de ne pas postuler un ou des emploi(s),Q32.4- J’ai choisi de ne pas recourir à du soutien social,Q32.5- Je me suis isolé(e) de ma famille et/ou de mes amis,Q32.6- J’ai décidé de ne pas avoir de relations sexuelles,Q33.1- Il est difficile de parler aux gens de ma séropositivité,Q33.2- Avoir le VIH me donne l’impression d’être sale,Q33.3- Je me sens coupable d’avoir le VIH,Q33.4- J’ai honte d’avoir le VIH,Q33.5- Je me sens parfois inutile parce que j’ai le VIH,Q33.6- Je cache ma séropositivité aux gens
1438,28072025132833,1,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,1,0,1,1,0,0,0,0,1
0583,25072025143933,3,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,1,0,0,0,0,0,0
7219,25072025182102,11,,,1,1,1,4,1,4,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,1,1,0,0,1,0,1
7219,25072025132142,10,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,1,0,0,1,0,1
7219,27072025095946,12,,,1,1,1,1,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,1,1,0,1,1,0,1
7219,27072025113947,13,,,1,1,1,1,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,1,4,4,4,0,0,1,1,1,1,1,1,1,0,1,1
4925,28072025082848,1,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,1,0,0,0,0,1
0180,31072025090539,1,,,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,1,4,4,4,0,0,2,0,0,2,1,0,0,0,0,1
4799,28072025110244,3,,,2,2,2,2,2,2,2,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,4,4,1,4,0,1,0,0,0,0,1,0,1,1,1,1
7631,28072025115418,2,,,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,2,2,2,2,2,2,0,1,0,1,0,0,1,0,0,1,1,1
3800,25072025123549,2,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,1,4,4,4,1,0,2,2,0,1,1,0,1,1,0,1
3800,24072025103051,1,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,1,1,4,1,1,0,0,0,1,1,0,1,1,1,1
6563,07102025145447,1,,,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1
7219,28072025110006,15,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4,4,4,2,0,0,2,2,2,1,0,0,0,0,1
7219,28072025075015,14,,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,2,2,2,2,2,0,1,0,1,0,0,1
1344,28072025133357,1,,,1,1,1,1,1,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,4,4,4,1,4,4,4,0,0,0,0,0,1,1,0,1,1,0,1
4642,07102025093454,1,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,1,1,0,0,0,0,1
5512,29072025085143,1,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,1,0,0,1,0,0,1,0,0,0,0,1
4642,07102025093517,2,,,1,1,1,1,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1,1,4,4,4,0,0,2,0,0,1,1,0,0,1,0,1
9423,29072025112420,1,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,2,0,0,0,1,1,1,1,1,1
3243,29072025141717,3,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,1,1,0,0,1,0,1
9843,29072025143347,2,,,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,4,2,2,0,0,2,0,0,0,0,0,0,0,0,1
7219,29072025083600,16,,,1,1,1,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1,4,4,4,4,0,0,0,0,0,0,1,0,0,1,0,1
0583,29072025170234,4,,,1,1,1,1,1,3,2,4,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
3243,30072025104246,4,,,1,1,1,4,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,1,0,0,0,0,1
0180,31072025090852,2,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,2,2,3,0,0,0,0,0,0,1,0,0,0,0,1
1344,30072025134740,2,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,1,0,0,1,0,0,0,0,0,0,0,1
9843,31072025095105,3,,,1,2,1,1,1,1,1,1,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,4,4,4,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0
4575,31072025115633,1,,,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,1
9843,01082025103712,4,,,2,2,1,1,1,2,2,2,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,4,4,2,4,2,2,0,0,2,0,0,0,0,0,0,0,0,0
4256,01082025171440,2,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1,1,4,4,4,0,0,0,0,0,1,1,0,1,1,0,1
6563,07102025145406,2,,,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,3,4,4,4,4,0,0,2,0,0,0,1,0,0,0,0,1
9423,01082025125552,2,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,1,1,0,1,0,0,1,0,1,1,0,1
9181,01082025114124,2,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,2,4,4,2,0,1,2,0,0,1,1,0,0,0,0,1
9181,22072025125621,1,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,2,4,4,2,0,0,2,2,0,0,1,0,1,1,0,1
0180,01082025171533,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4728,04082025092242,2,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,2,0,0,0,0,0,1,0,0,0,0,1
4728,04082025113704,3,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1,4,1,4,4,1,0,1,1,1,0,1,0,1,1,1,1
9423,04082025120934,3,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,1,0,0,1,0,1
9423,04082025151835,4,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,1,0,1,0,0,1
7219,04082025102209,17,,,1,1,1,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,4,4,3,4,0,1,0,0,0,0,1,1,0,0,0,1
7219,05082025145834,19,,,1,1,1,1,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1,4,4,4,4,0,0,0,0,0,0,1,0,0,1,0,1
3243,05082025160019,5,,,1,1,1,1,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,1,0,0,0,0,0,1,0,1,1,0,1
9843,05082025092419,5,,,1,2,1,1,1,1,2,1,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,4,4,2,3,2,2,2,0,0,0,0,0,1,0,0,0,1,1,0
9843,05082025112304,6,,,1,2,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,1,4,3,4,2,0,0,2,0,0,0,0,0,1,1,1,0
2372,05082025161406,2,,,1,1,1,1,1,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,1,0,0,0,0,1
5512,04082025072956,2,,,1,1,1,1,1,1,1,1,1,1,1,2,0,2,2,2,2,0,1,0,0,0,2,2,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,0,0,0,0,0
5512,04082025090444,3,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
5512,04082025142054,4,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,1,0,1,1,0,1
4642,07102025093539,3,,,1,1,1,1,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,3,4,4,4,0,0,2,0,0,1,1,0,0,1,0,1
7219,06082025152448,21,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1,4,4,4,4,0,0,0,0,0,0,1,0,0,1,0,1
7219,06082025100120,20,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1,4,4,4,4,0,0,0,0,0,0,1,0,0,1,0,1
9843,06082025104359,7,,,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,2,2,2,2,2,0,0,2,0,0,0,1,1,1,1,1,1
9843,06082025120608,8,,,1,1,1,1,4,4,4,4,1,1,4,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0
1344,08082025075035,3,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,1,4,4,4,1,0,0,1,0,0,1,0,1,0,0,1
4749,05082025100620,3,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1,3,3,4,4,0,0,2,0,0,2,1,0,0,0,0,0
4749,05082025094631,2,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,2,4,4,4,1,0,0,1,0,0,1,1,1,1,1,1
4749,05082025094146,1,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1,1,4,4,1,0,1,0,0,0,1,1,1,1,1,1
4749,08082025090735,5,,,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,1,0,2,1,0,0,1,0,0,0,0,1
0180,08082025102935,3,,,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,4,2,2,2,0,0,0,0,0,0,1,0,0,0,0,1
3800,08082025110108,4,,,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,0,0,2,0,0,0,1,0,0,1,0,1
4931,04082025121055,5,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
4931,31072025113815,3,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0
4931,08082025114415,6,,,1,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
4931,04082025091316,4,,,1,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0
3800,08082025125404,5,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,3,1,4,4,4,0,0,0,0,0,0,1,0,1,1,0,1
0583,08082025123619,5,,,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
0583,08082025131130,6,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,2,2,0,2,0,2,1,0,0,0,0,1
9843,08082025110506,9,,,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,1,2,2,2,0,0,2,0,0,1,1,0,0,0,0,1
0583,08082025142224,7,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0
6563,07102025145333,3,,,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,4,4,4,2,0,0,2,0,0,0,1,0,0,0,0,1
0583,08082025161106,8,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,2,2,2,2,2,2,0,0,0,0,0,0
9843,08082025170422,10,,,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,2,2,2,2,1,1,0,0,0,0,1,0,0,0,0,1
0583,11082025090436,9,,,1,1,1,1,1,1,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,1
4799,11082025094331,4,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,2,0,0,2,0,0,0,0,0,0
0583,11082025103421,10,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
3796,11082025124506,1,,,4,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,2,2,2,2,2,2,1,0,0,0,0,0
4728,11082025133028,4,,,2,1,1,3,3,3,3,3,1,1,3,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,4,3,4,4,2,3,4,4,1,0,0,0,0,0,1,1,0,1,0,1
9843,11082025140929,11,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
7219,08082025173021,23,,,1,1,1,1,1,1,4,1,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,4,2,1,4,4,4,0,0,0,0,0,0,1,0,0,0,0,1
7219,08082025131030,22,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,4,1,4,4,4,4,1,0,0,0,0,0,1,0,0,0,0,1
7219,11082025125008,25,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,4,4,4,4,4,0,0,0,0,0,0,1,0,0,0,0,1
3796,12082025084952,2,,,3,3,3,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,2,2,2,2,2,2,0,0,0,0,0,1
